id,fecha,producto,precio,cantidad
92,2023-06-22,katanaAcero,94.4,10
93,2023-03-23,tantoMadera,1240.8,8
94,2023-08-13,kunaiHierro,1204.12,4
95,2023-08-17,shuriken,860.44,2
96,2023-04-05,shuriken,477.94,1
97,2023-09-07,nodachiElite,1146.88,4
98,2023-04-19,nodachiElite,1186.34,7
99,2023-11-04,nodachiElite,40.04,10
100,2023-06-19,tantoMadera,35.75,1
101,2023-06-20,bokenEntrenamiento,843.97,5
102,2023-08-19,nodachiElite,659.51,6
103,2026-01-20,bokenEntrenamiento,316.64,7
104,2023-03-01,tantoMadera,570.79,5
105,2026-01-20,kunaiHierro,635.41,6
106,2023-03-19,tantoMadera,855.54,6
107,2023-12-20,tantoMadera,603.12,4
108,2023-03-21,kunaiHierro,396.77,2
109,2023-03-26,tantoMadera,170.51,8
110,2023-01-09,kunaiHierro,1490.5,6
111,2023-11-07,shuriken,1039.68,5
112,2023-07-19,kunaiHierro,1282.91,2
113,2023-01-29,tantoMadera,1013.11,8
114,2023-07-09,katanaAcero,198.04,8
115,2023-06-18,katanaAcero,446.09,2
116,2023-12-21,kunaiHierro,973.76,7
117,2023-08-07,katanaAcero,407.28,8
118,2023-08-17,bokenEntrenamiento,972.19,7
119,2023-06-23,kunaiHierro,63.49,2
120,2023-02-15,nodachiElite,806.75,2
121,2023-01-16,tantoMadera,433.5,8
122,2023-05-02,bokenEntrenamiento,86.08,3
123,2023-10-14,katanaAcero,788.2,7
124,2023-07-11,shuriken,1047.31,9
125,2026-01-21,tantoMadera,1271.0,4
126,2023-01-02,katanaAcero,548.2,1
127,2026-01-20,shuriken,112.79,5
128,2023-04-26,tantoMadera,915.77,3
129,2023-03-11,kunaiHierro,1074.62,1
130,2026-01-20,nodachiElite,304.24,9
131,2023-03-17,shuriken,1298.23,9
132,2023-10-01,nodachiElite,214.29,5
133,2026-01-20,tantoMadera,111.15,4
134,2023-06-26,nodachiElite,326.64,3
135,2023-07-24,nodachiElite,831.29,7
136,2026-01-21,katanaAcero,175.09,1
137,2023-09-06,bokenEntrenamiento,842.04,1
138,2023-05-16,shuriken,1044.1,4
139,2026-01-21,kunaiHierro,755.4100000000001,9
140,2023-12-06,bokenEntrenamiento,922.94,2
141,2023-08-13,katanaAcero,208.06,5
142,2026-01-21,shuriken,1306.27,3
143,2023-10-02,bokenEntrenamiento,787.93,4
144,2023-01-08,nodachiElite,755.4100000000001,5
145,2026-01-20,bokenEntrenamiento,1271.45,3
146,2023-03-14,kunaiHierro,173.42,9
147,2023-11-17,tantoMadera,414.3,5
148,2023-07-08,shuriken,317.18,7
149,2023-12-27,katanaAcero,317.57,1
150,2023-11-13,bokenEntrenamiento,755.4100000000001,1
151,2023-03-12,kunaiHierro,1391.83,8
152,2023-05-20,bokenEntrenamiento,530.58,4
153,2026-01-20,nodachiElite,444.59,4
154,2023-11-14,katanaAcero,1249.0,7
155,2023-04-15,shuriken,1106.96,9
156,2026-01-21,tantoMadera,838.28,4
157,2023-03-09,shuriken,719.46,3
158,2026-01-21,nodachiElite,1355.13,10
159,2023-01-24,kunaiHierro,518.2,6
160,2023-02-14,katanaAcero,663.06,2
161,2026-01-20,shuriken,755.4100000000001,9
162,2023-01-12,kunaiHierro,1052.66,5
163,2026-01-21,katanaAcero,1415.81,6
164,2023-04-30,bokenEntrenamiento,1492.25,4
165,2023-09-28,bokenEntrenamiento,1096.76,6
166,2023-03-21,katanaAcero,874.66,10
167,2026-01-20,nodachiElite,165.62,4
168,2023-12-15,katanaAcero,242.76,4
169,2023-02-02,kunaiHierro,698.41,6
170,2026-01-20,bokenEntrenamiento,866.86,6
171,2023-02-16,bokenEntrenamiento,420.48,8
172,2023-04-07,bokenEntrenamiento,1394.35,9
173,2023-06-17,shuriken,483.29,5
174,2026-01-20,nodachiElite,283.79,5
175,2026-01-20,nodachiElite,755.4100000000001,5
176,2023-01-07,bokenEntrenamiento,984.87,9
177,2023-07-09,tantoMadera,1215.91,2
178,2023-05-31,tantoMadera,755.4100000000001,3
179,2023-11-22,tantoMadera,456.23,10
180,2023-08-19,nodachiElite,92.59,1
181,2026-01-21,kunaiHierro,1116.14,5
182,2023-09-24,bokenEntrenamiento,329.74,9
183,2026-01-21,kunaiHierro,273.28,4
184,2026-01-20,nodachiElite,1487.71,4
185,2023-02-26,bokenEntrenamiento,537.2,9
186,2023-06-28,katanaAcero,1452.25,2
187,2026-01-21,bokenEntrenamiento,1227.9,8
188,2023-01-12,kunaiHierro,1306.23,3
189,2023-04-16,shuriken,422.33,1
190,2023-09-19,bokenEntrenamiento,796.24,8
191,2023-09-06,kunaiHierro,755.4100000000001,5
192,2026-01-20,bokenEntrenamiento,655.85,1
193,2026-01-20,bokenEntrenamiento,809.01,6
194,2023-09-20,katanaAcero,177.56,2
195,2023-08-15,nodachiElite,1057.86,10
196,2023-05-04,shuriken,1201.97,6
197,2023-06-12,shuriken,774.55,4
198,2023-05-07,bokenEntrenamiento,1351.72,8
199,2023-04-07,katanaAcero,1401.48,4
200,2023-07-24,tantoMadera,900.28,5
201,2023-04-22,nodachiElite,486.68,7
202,2023-10-30,nodachiElite,755.4100000000001,6
203,2023-04-18,kunaiHierro,382.83,9
204,2023-05-01,tantoMadera,919.91,7
205,2023-11-04,nodachiElite,433.25,10
206,2023-04-22,tantoMadera,295.73,5
207,2023-03-25,nodachiElite,239.87,2
208,2026-01-21,bokenEntrenamiento,1382.99,8
209,2026-01-20,tantoMadera,431.08,6
210,2023-11-05,kunaiHierro,14.79,7
211,2023-04-19,kunaiHierro,474.13,7
212,2023-10-26,tantoMadera,755.4100000000001,2
213,2023-02-21,kunaiHierro,912.36,7
214,2023-12-06,kunaiHierro,222.94,3
215,2023-06-16,shuriken,228.13,9
216,2023-08-05,katanaAcero,268.58,9
217,2026-01-21,tantoMadera,610.56,9
218,2023-12-16,bokenEntrenamiento,1041.25,4
219,2023-01-12,kunaiHierro,1483.71,6
220,2026-01-20,nodachiElite,1206.3,2
221,2026-01-21,nodachiElite,755.4100000000001,6
223,2023-04-08,tantoMadera,1455.9,3
224,2026-01-20,tantoMadera,49.07,9
226,2023-02-19,tantoMadera,1140.08,4
227,2023-09-13,kunaiHierro,755.4100000000001,8
228,2026-01-21,katanaAcero,620.44,8
229,2023-04-14,kunaiHierro,44.84,3
230,2023-08-24,shuriken,885.42,5
231,2026-01-21,tantoMadera,11.15,7
232,2023-02-15,kunaiHierro,102.1,5
233,2023-02-11,tantoMadera,914.07,6
234,2023-08-29,kunaiHierro,755.4100000000001,3
235,2023-02-09,bokenEntrenamiento,1076.08,1
236,2026-01-20,shuriken,1213.82,6
237,2023-11-04,bokenEntrenamiento,801.67,9
238,2023-06-27,shuriken,755.4100000000001,1
239,2026-01-21,tantoMadera,755.4100000000001,10
240,2026-01-20,shuriken,816.31,3
241,2023-11-27,bokenEntrenamiento,980.48,1
242,2023-12-04,kunaiHierro,128.24,5
243,2026-01-20,kunaiHierro,755.4100000000001,6
244,2026-01-21,shuriken,144.34,2
245,2023-12-16,bokenEntrenamiento,770.5,9
246,2026-01-20,katanaAcero,744.05,8
247,2026-01-21,bokenEntrenamiento,449.29,2
248,2023-04-05,tantoMadera,702.11,3
249,2023-10-28,bokenEntrenamiento,1099.82,7
250,2023-07-26,tantoMadera,205.06,7
251,2023-10-15,nodachiElite,154.6,3
252,2026-01-21,shuriken,151.07,1
253,2023-05-17,nodachiElite,170.98,9
254,2026-01-20,bokenEntrenamiento,1309.53,8
255,2026-01-20,bokenEntrenamiento,389.46,2
256,2023-05-05,shuriken,957.53,8
257,2023-07-18,kunaiHierro,623.65,9
258,2023-08-22,katanaAcero,44.85,10
259,2026-01-21,kunaiHierro,563.89,2
260,2023-02-11,katanaAcero,463.52,1
261,2026-01-20,nodachiElite,945.36,1
262,2023-12-14,kunaiHierro,1335.34,7
263,2023-10-07,tantoMadera,568.67,4
264,2026-01-21,shuriken,1466.9,4
265,2023-01-15,bokenEntrenamiento,827.18,2
266,2023-02-16,shuriken,528.57,8
267,2023-10-05,kunaiHierro,755.4100000000001,7
268,2023-05-16,tantoMadera,624.46,6
269,2023-08-24,katanaAcero,305.38,4
270,2023-07-17,kunaiHierro,139.28,5
271,2023-04-14,tantoMadera,706.3,1
272,2023-05-29,kunaiHierro,869.91,9
273,2026-01-20,nodachiElite,718.93,7
274,2023-10-23,bokenEntrenamiento,653.33,3
275,2026-01-20,shuriken,317.5,10
276,2023-04-30,shuriken,1058.06,5
277,2026-01-20,nodachiElite,518.21,10
278,2023-11-29,nodachiElite,1280.81,10
279,2023-05-08,bokenEntrenamiento,757.74,5
280,2026-01-21,kunaiHierro,178.47,3
281,2023-03-07,katanaAcero,356.62,7
282,2023-05-17,tantoMadera,946.32,3
283,2026-01-20,nodachiElite,755.4100000000001,2
284,2023-03-15,tantoMadera,755.4100000000001,8
285,2023-06-14,shuriken,110.44,3
286,2023-12-22,bokenEntrenamiento,1177.71,9
287,2023-12-27,tantoMadera,376.77,8
288,2023-10-11,katanaAcero,755.4100000000001,1
289,2023-11-17,nodachiElite,1425.03,1
290,2023-02-05,nodachiElite,755.4100000000001,9
291,2023-05-09,kunaiHierro,1221.25,3
292,2023-09-06,shuriken,876.71,3
293,2023-02-18,kunaiHierro,264.66,9
294,2023-02-21,tantoMadera,399.29,3
295,2023-09-07,kunaiHierro,1202.21,8
296,2023-09-17,shuriken,430.38,5
297,2023-12-21,katanaAcero,848.08,1
298,2023-12-16,kunaiHierro,1342.58,4
299,2026-01-20,nodachiElite,75.82,2
300,2023-06-18,nodachiElite,866.97,8
301,2023-11-06,bokenEntrenamiento,759.99,8
302,2023-12-31,katanaAcero,755.4100000000001,2
303,2026-01-21,bokenEntrenamiento,1421.42,8
304,2023-07-16,tantoMadera,444.05,3
305,2023-05-22,katanaAcero,1108.62,4
306,2026-01-20,shuriken,860.05,6
307,2023-04-08,nodachiElite,1403.13,10
308,2023-04-04,nodachiElite,153.87,8
309,2023-11-09,bokenEntrenamiento,758.55,10
310,2023-05-28,bokenEntrenamiento,755.4100000000001,6
311,2023-05-25,bokenEntrenamiento,259.45,2
312,2023-01-01,shuriken,755.4100000000001,1
313,2023-09-29,tantoMadera,131.79,3
314,2026-01-20,nodachiElite,1390.04,3
315,2023-10-10,nodachiElite,735.33,4
316,2023-12-05,tantoMadera,73.06,10
317,2023-07-01,kunaiHierro,734.52,1
318,2023-02-21,kunaiHierro,753.94,3
319,2026-01-20,bokenEntrenamiento,255.51,4
320,2023-05-25,bokenEntrenamiento,56.99,5
321,2023-05-27,tantoMadera,1073.9,3
322,2023-12-25,shuriken,755.4100000000001,3
323,2026-01-21,shuriken,1102.1,6
324,2026-01-20,shuriken,1455.91,5
326,2023-01-23,kunaiHierro,698.28,7
327,2023-06-13,bokenEntrenamiento,971.23,5
328,2023-09-03,kunaiHierro,1055.57,3
329,2023-11-19,tantoMadera,212.74,8
330,2023-02-09,shuriken,824.75,5
331,2026-01-21,katanaAcero,1466.05,7
332,2026-01-21,kunaiHierro,1003.84,9
333,2026-01-21,kunaiHierro,1129.74,4
334,2023-03-01,kunaiHierro,701.43,2
335,2023-03-28,tantoMadera,327.82,6
336,2026-01-21,kunaiHierro,1187.12,1
337,2023-12-07,nodachiElite,444.21,8
338,2023-12-24,katanaAcero,1204.51,3
339,2026-01-20,bokenEntrenamiento,1451.62,2
340,2023-03-31,tantoMadera,922.61,7
341,2023-07-03,kunaiHierro,61.61,10
342,2023-04-17,tantoMadera,1084.67,1
343,2023-04-23,bokenEntrenamiento,705.74,10
344,2026-01-21,katanaAcero,1193.57,2
345,2023-10-06,tantoMadera,997.66,5
346,2026-01-20,tantoMadera,965.31,6
347,2023-12-26,nodachiElite,895.82,9
348,2023-02-06,nodachiElite,347.12,4
349,2023-09-08,shuriken,964.07,10
350,2023-11-13,katanaAcero,800.34,5
351,2023-06-07,nodachiElite,564.2,10
352,2026-01-20,shuriken,1018.84,9
353,2023-11-14,kunaiHierro,1047.33,8
354,2026-01-20,tantoMadera,1155.41,10
355,2023-08-01,kunaiHierro,278.66,1
356,2026-01-20,shuriken,1305.36,4
357,2023-01-27,tantoMadera,614.49,9
358,2023-09-05,kunaiHierro,408.64,7
359,2023-08-07,shuriken,654.15,4
360,2023-10-04,shuriken,1225.82,4
361,2023-09-27,nodachiElite,1350.08,6
362,2026-01-20,shuriken,1288.78,6
363,2023-02-03,kunaiHierro,1083.87,4
364,2023-02-18,katanaAcero,141.22,6
365,2023-04-06,tantoMadera,1001.57,10
366,2023-09-18,kunaiHierro,755.4100000000001,2
367,2026-01-20,kunaiHierro,1373.64,3
368,2026-01-21,nodachiElite,496.63,1
369,2023-12-02,bokenEntrenamiento,240.84,5
370,2023-04-27,nodachiElite,757.23,7
371,2023-04-11,tantoMadera,1429.39,7
372,2023-08-21,kunaiHierro,199.08,1
373,2023-01-25,shuriken,1342.52,2
374,2023-01-03,tantoMadera,182.84,6
375,2026-01-20,nodachiElite,842.34,3
376,2023-08-04,kunaiHierro,765.4,9
377,2023-04-07,tantoMadera,578.62,2
378,2026-01-21,nodachiElite,1461.2,3
379,2023-08-07,nodachiElite,1371.4,6
380,2026-01-21,katanaAcero,566.25,2
381,2023-12-25,tantoMadera,587.5,3
382,2026-01-21,shuriken,755.4100000000001,5
383,2023-10-23,nodachiElite,873.62,4
384,2023-05-11,shuriken,1195.74,1
385,2023-12-25,tantoMadera,822.06,10
386,2023-03-08,nodachiElite,384.64,6
387,2023-05-17,shuriken,174.66,8
388,2023-05-20,bokenEntrenamiento,107.06,10
389,2023-05-28,shuriken,79.35,8
390,2023-03-06,kunaiHierro,532.96,2
391,2023-06-13,katanaAcero,136.76,6
392,2023-01-11,nodachiElite,78.13,5
393,2023-10-19,bokenEntrenamiento,505.08,3
394,2023-09-28,katanaAcero,470.18,3
395,2023-03-27,shuriken,1430.09,10
396,2023-08-30,nodachiElite,1113.55,9
397,2023-11-20,katanaAcero,58.05,6
398,2023-01-05,kunaiHierro,1086.54,5
399,2023-08-22,bokenEntrenamiento,71.36,9
400,2023-05-07,katanaAcero,914.18,9
401,2023-07-17,kunaiHierro,124.87,7
402,2023-01-05,shuriken,1248.23,4
403,2026-01-21,bokenEntrenamiento,1331.49,5
404,2026-01-21,tantoMadera,863.63,4
405,2023-04-01,kunaiHierro,624.14,4
406,2026-01-20,shuriken,491.27,2
407,2026-01-20,tantoMadera,1177.82,4
409,2023-03-16,katanaAcero,971.0,6
410,2023-09-13,tantoMadera,249.13,8
411,2026-01-20,katanaAcero,579.33,3
412,2023-12-23,shuriken,603.63,8
414,2026-01-21,katanaAcero,652.71,9
415,2026-01-21,bokenEntrenamiento,633.16,6
416,2023-08-07,tantoMadera,917.45,10
417,2023-08-13,tantoMadera,1086.9,3
418,2023-11-02,tantoMadera,755.4100000000001,6
419,2026-01-21,kunaiHierro,1263.56,7
420,2023-07-28,nodachiElite,178.14,7
422,2023-09-19,katanaAcero,1299.75,9
423,2026-01-21,shuriken,628.01,1
424,2023-11-03,kunaiHierro,136.39,7
425,2023-05-08,katanaAcero,755.4100000000001,5
426,2026-01-21,tantoMadera,755.4100000000001,6
427,2023-04-25,tantoMadera,67.49,1
428,2023-12-26,kunaiHierro,275.62,3
429,2023-09-07,nodachiElite,436.28,4
430,2026-01-21,nodachiElite,270.09,6
431,2023-07-02,kunaiHierro,1264.84,8
432,2023-11-03,shuriken,33.2,3
433,2023-03-12,nodachiElite,40.5,4
434,2023-04-11,shuriken,545.75,10
435,2023-08-03,shuriken,929.92,9
436,2023-11-19,kunaiHierro,755.4100000000001,5
437,2023-01-05,kunaiHierro,755.4100000000001,10
438,2023-11-09,katanaAcero,755.4100000000001,6
439,2023-06-02,nodachiElite,951.88,1
440,2023-01-08,katanaAcero,1112.35,8
441,2023-03-07,bokenEntrenamiento,1093.52,8
442,2023-03-12,nodachiElite,755.4100000000001,2
443,2023-08-08,shuriken,309.69,5
444,2026-01-20,bokenEntrenamiento,337.71,1
445,2023-05-26,nodachiElite,755.4100000000001,5
446,2023-01-20,nodachiElite,1232.87,10
447,2026-01-21,nodachiElite,1220.79,8
448,2023-11-17,bokenEntrenamiento,1230.18,10
449,2023-11-17,bokenEntrenamiento,465.7,2
450,2023-07-27,tantoMadera,492.34,7
451,2023-03-04,kunaiHierro,917.37,2
452,2023-04-11,shuriken,637.57,9
453,2023-12-31,katanaAcero,716.03,7
454,2023-10-20,bokenEntrenamiento,494.79,1
455,2023-09-15,kunaiHierro,217.48,10
456,2026-01-21,bokenEntrenamiento,1389.02,1
457,2023-09-08,nodachiElite,1424.45,2
458,2023-10-03,katanaAcero,779.51,5
459,2026-01-21,shuriken,208.24,7
461,2023-11-10,tantoMadera,1292.86,2
462,2023-04-10,shuriken,813.46,7
463,2026-01-20,shuriken,1304.52,3
464,2023-11-03,katanaAcero,790.05,6
465,2023-05-11,nodachiElite,289.22,6
466,2023-11-28,kunaiHierro,1225.33,7
467,2026-01-20,kunaiHierro,1164.98,6
468,2023-06-18,bokenEntrenamiento,11.97,9
469,2023-09-25,bokenEntrenamiento,301.14,6
470,2023-02-15,tantoMadera,1183.18,10
471,2026-01-20,tantoMadera,716.29,1
472,2023-10-14,kunaiHierro,202.91,9
473,2023-08-10,katanaAcero,510.64,1
474,2026-01-20,kunaiHierro,233.85,8
475,2023-01-19,kunaiHierro,1278.99,9
476,2023-12-21,kunaiHierro,550.93,3
478,2023-01-27,shuriken,755.4100000000001,9
479,2023-04-04,kunaiHierro,1262.8,3
480,2023-01-05,tantoMadera,954.23,1
481,2023-05-03,shuriken,755.4100000000001,1
482,2026-01-20,tantoMadera,975.53,5
483,2026-01-20,nodachiElite,1269.14,3
484,2023-08-10,shuriken,1355.67,6
485,2023-12-02,shuriken,462.57,8
486,2023-01-10,tantoMadera,779.33,9
487,2023-03-05,kunaiHierro,86.69,3
488,2023-03-12,nodachiElite,577.12,2
489,2023-09-26,katanaAcero,1416.59,6
490,2023-09-04,tantoMadera,1362.04,2
491,2026-01-20,kunaiHierro,735.24,4
492,2026-01-20,tantoMadera,322.21,3
493,2023-09-30,tantoMadera,321.04,5
494,2023-02-17,nodachiElite,234.07,7
495,2026-01-20,kunaiHierro,755.4100000000001,5
496,2023-04-21,nodachiElite,1444.29,8
497,2023-04-16,kunaiHierro,1140.32,6
498,2026-01-21,shuriken,310.62,4
499,2023-04-03,tantoMadera,1079.88,6
500,2023-03-30,katanaAcero,134.51,7
501,2026-01-21,bokenEntrenamiento,230.38,9
502,2023-10-15,shuriken,484.16,10
503,2023-08-03,nodachiElite,1470.82,9
504,2023-04-01,nodachiElite,755.4100000000001,10
505,2026-01-20,nodachiElite,555.07,8
506,2023-01-02,tantoMadera,1069.54,5
507,2026-01-20,kunaiHierro,241.8,5
508,2023-09-10,kunaiHierro,294.47,9
509,2023-07-22,kunaiHierro,1198.3,1
510,2023-11-19,tantoMadera,755.4100000000001,3
511,2023-09-25,bokenEntrenamiento,359.86,8
512,2023-11-01,shuriken,872.51,8
513,2023-06-29,katanaAcero,1283.92,7
514,2023-07-15,tantoMadera,755.4100000000001,5
515,2023-06-23,kunaiHierro,63.87,2
516,2023-04-13,bokenEntrenamiento,28.14,6
517,2026-01-20,nodachiElite,115.33,8
518,2026-01-20,katanaAcero,504.42,5
519,2023-06-08,tantoMadera,1003.89,4
520,2023-12-05,nodachiElite,972.61,7
521,2023-05-29,kunaiHierro,755.4100000000001,3
522,2023-11-14,katanaAcero,1228.98,5
523,2023-10-09,bokenEntrenamiento,1353.92,7
525,2026-01-21,shuriken,916.27,9
526,2023-01-17,shuriken,1397.19,2
527,2023-12-13,tantoMadera,1056.57,5
528,2023-06-09,kunaiHierro,662.56,9
529,2023-06-19,shuriken,385.11,7
530,2026-01-20,bokenEntrenamiento,759.55,6
531,2023-11-14,nodachiElite,755.4100000000001,9
532,2023-08-14,katanaAcero,736.26,3
533,2023-11-16,bokenEntrenamiento,616.72,4
534,2023-11-19,tantoMadera,755.4100000000001,10
535,2023-10-14,katanaAcero,1486.75,3
536,2023-11-08,kunaiHierro,118.26,4
537,2023-12-09,kunaiHierro,34.26,5
538,2023-03-19,kunaiHierro,439.66,3
540,2023-08-21,katanaAcero,626.05,3
541,2023-10-12,shuriken,755.4100000000001,6
543,2023-03-13,bokenEntrenamiento,518.33,6
544,2023-08-12,tantoMadera,286.73,4
545,2023-03-20,shuriken,436.26,5
546,2023-01-25,nodachiElite,1328.99,9
547,2023-06-06,shuriken,1097.64,5
548,2023-09-16,nodachiElite,755.4100000000001,4
549,2023-10-18,bokenEntrenamiento,427.36,2
550,2026-01-20,bokenEntrenamiento,1086.4,6
551,2026-01-21,nodachiElite,1494.26,10
552,2023-06-22,katanaAcero,1435.63,2
553,2023-12-25,shuriken,1385.63,2
554,2023-04-11,katanaAcero,950.55,4
555,2023-07-08,katanaAcero,755.4100000000001,3
556,2023-03-01,kunaiHierro,281.76,2
557,2023-08-14,nodachiElite,576.56,1
558,2023-05-24,kunaiHierro,1115.52,4
559,2023-05-22,katanaAcero,774.42,8
560,2023-06-10,bokenEntrenamiento,1368.2,5
561,2026-01-21,shuriken,634.23,10
562,2023-11-09,bokenEntrenamiento,588.02,9
563,2023-11-13,katanaAcero,100.71,5
564,2023-10-17,tantoMadera,951.38,8
565,2023-11-21,shuriken,679.94,8
566,2023-12-19,tantoMadera,1320.24,5
567,2023-07-20,shuriken,755.4100000000001,3
568,2023-03-15,kunaiHierro,829.17,3
569,2023-08-05,bokenEntrenamiento,903.56,4
570,2023-08-30,nodachiElite,53.1,1
571,2023-02-19,tantoMadera,790.86,4
572,2023-09-09,katanaAcero,653.04,3
573,2023-08-19,bokenEntrenamiento,178.68,3
574,2023-09-03,nodachiElite,933.04,1
575,2023-07-05,bokenEntrenamiento,283.84,1
576,2026-01-21,nodachiElite,1043.94,5
577,2023-11-07,katanaAcero,770.84,7
578,2023-08-20,tantoMadera,1261.05,3
579,2026-01-21,bokenEntrenamiento,988.48,6
580,2026-01-21,bokenEntrenamiento,827.26,7
581,2026-01-21,nodachiElite,1156.58,4
582,2023-02-10,katanaAcero,755.4100000000001,5
583,2023-11-06,nodachiElite,1361.0,7
584,2023-10-02,tantoMadera,938.49,9
585,2023-04-25,katanaAcero,1390.3,9
586,2026-01-20,shuriken,261.83,1
587,2026-01-21,nodachiElite,191.07,3
588,2026-01-21,kunaiHierro,1459.39,10
589,2023-06-26,shuriken,998.52,2
590,2023-08-01,katanaAcero,1340.36,5
591,2023-11-09,tantoMadera,649.3,4
592,2023-01-01,shuriken,399.19,10
593,2026-01-21,shuriken,682.02,9
594,2026-01-20,kunaiHierro,1295.32,1
595,2026-01-20,tantoMadera,1356.64,10
596,2023-10-14,bokenEntrenamiento,246.11,9
597,2023-04-07,nodachiElite,520.04,3
598,2023-03-10,nodachiElite,501.33,10
599,2026-01-21,kunaiHierro,1089.06,3
600,2023-11-27,nodachiElite,753.37,10
601,2023-07-30,katanaAcero,755.4100000000001,10
602,2026-01-20,nodachiElite,1305.13,9
603,2023-10-20,kunaiHierro,323.61,9
604,2023-09-28,bokenEntrenamiento,260.87,4
605,2023-08-08,katanaAcero,910.71,6
606,2026-01-20,nodachiElite,37.49,8
607,2023-08-12,katanaAcero,379.06,4
608,2026-01-21,bokenEntrenamiento,1205.32,2
609,2026-01-21,tantoMadera,755.4100000000001,8
610,2023-04-26,katanaAcero,501.74,7
611,2023-11-15,shuriken,1469.31,8
612,2023-07-28,shuriken,376.58,7
613,2023-11-10,shuriken,1044.67,1
614,2023-10-16,katanaAcero,960.79,7
